epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4729.11,0.91724,0.41112,0.92834,0.96507,0.93309,0.95769,0.68723,0.96199,0.39426,0.89733,0.00095941,0.00095941,0.00095941
43,4839.67,0.91426,0.40792,0.92535,0.96954,0.93896,0.95946,0.68961,0.9447,0.38803,0.89225,0.00095842,0.00095842,0.00095842
44,4951.56,0.92001,0.41231,0.92972,0.97188,0.93931,0.95745,0.69082,0.94163,0.3831,0.89036,0.00095743,0.00095743,0.00095743
45,5065.02,0.9136,0.40725,0.92746,0.96874,0.93843,0.95832,0.68802,0.94865,0.38484,0.89266,0.00095644,0.00095644,0.00095644
46,5173.03,0.91926,0.41007,0.92851,0.96979,0.93476,0.95803,0.69332,0.95195,0.38595,0.89261,0.00095545,0.00095545,0.00095545
47,5304.92,0.90378,0.40322,0.926,0.97206,0.93905,0.9598,0.69137,0.95011,0.38445,0.89262,0.00095446,0.00095446,0.00095446
48,5413.71,0.90072,0.40241,0.92256,0.96652,0.94061,0.95841,0.68897,0.95831,0.38495,0.89615,0.00095347,0.00095347,0.00095347
49,5523.36,0.90236,0.39964,0.9241,0.96812,0.93401,0.95582,0.68205,0.95473,0.38734,0.89427,0.00095248,0.00095248,0.00095248
50,5633.44,0.89796,0.40055,0.92463,0.96975,0.9375,0.95988,0.69375,0.94935,0.38172,0.89547,0.00095149,0.00095149,0.00095149
51,5755.69,0.9056,0.4025,0.92616,0.97,0.93672,0.95748,0.6907,0.94319,0.38327,0.89413,0.0009505,0.0009505,0.0009505
52,5868.99,0.9043,0.39931,0.92246,0.96806,0.94138,0.96169,0.6951,0.93173,0.37487,0.889,0.00094951,0.00094951,0.00094951
53,5993.65,0.90119,0.40071,0.92308,0.97031,0.93983,0.96185,0.69778,0.93595,0.37818,0.88898,0.00094852,0.00094852,0.00094852
54,6116.1,0.89849,0.39738,0.92355,0.96751,0.94099,0.95921,0.69379,0.93063,0.37707,0.88616,0.00094753,0.00094753,0.00094753
55,6223.75,0.89561,0.39714,0.92277,0.97497,0.93733,0.96007,0.69176,0.93626,0.37519,0.89228,0.00094654,0.00094654,0.00094654
56,6334.75,0.89821,0.39947,0.92081,0.96837,0.93672,0.95635,0.68875,0.93331,0.38011,0.89236,0.00094555,0.00094555,0.00094555
57,6450.05,0.8968,0.39872,0.92276,0.96775,0.94356,0.95906,0.68988,0.94466,0.38123,0.89385,0.00094456,0.00094456,0.00094456
58,6565.33,0.89483,0.39694,0.92284,0.96351,0.94604,0.9594,0.69992,0.92875,0.37702,0.8868,0.00094357,0.00094357,0.00094357
59,6686.28,0.88882,0.39455,0.91668,0.96144,0.93884,0.95309,0.68856,nan,nan,nan,0.00094258,0.00094258,0.00094258
60,6794.94,0.88894,0.39321,0.91974,0.96818,0.94371,0.95919,0.70194,0.92355,0.37437,0.88603,0.00094159,0.00094159,0.00094159
61,6915.23,0.89149,0.39459,0.92013,0.96958,0.94039,0.95751,0.69319,0.93527,0.37438,0.89165,0.0009406,0.0009406,0.0009406
62,7026.93,0.88778,0.39325,0.9215,0.96939,0.93983,0.95682,0.68676,0.94407,0.38041,0.89533,0.00093961,0.00093961,0.00093961
63,7136.84,0.88249,0.39203,0.92262,0.96813,0.94138,0.95837,0.69905,0.92489,0.37296,0.88702,0.00093862,0.00093862,0.00093862
64,7256.7,0.88099,0.39887,0.91672,0.967,0.9442,0.95992,0.69811,0.93172,0.37011,0.89091,0.00093763,0.00093763,0.00093763
65,7373.65,0.88987,0.39517,0.92083,0.96823,0.94061,0.95948,0.69697,0.93736,0.37241,0.88991,0.00093664,0.00093664,0.00093664
66,7484.6,0.87975,0.38813,0.92046,0.9696,0.94109,0.96008,0.69599,0.92559,0.37219,0.88786,0.00093565,0.00093565,0.00093565
67,7595.54,0.87926,0.38861,0.91777,0.96999,0.94122,0.96005,0.70204,0.92527,0.36869,0.88803,0.00093466,0.00093466,0.00093466
68,7719.57,0.88209,0.39295,0.92004,0.97208,0.93866,0.95871,0.69336,0.92995,0.37287,0.89227,0.00093367,0.00093367,0.00093367
69,7827.85,0.87285,0.38634,0.91394,0.96786,0.9441,0.95994,0.69563,0.93983,0.37114,0.89233,0.00093268,0.00093268,0.00093268
